idfamilia;familia;idoorder
1;Accipitridae;7
2;Pandionidae;7
3;Anatidae;23
4;Anhimidae;23
5;Apodidae;15
6;Trochilidae;15
7;Caprimulgidae;14
8;Nyctibiidae;14
9;Steatornithidae;14
10;Cathartidae;6
11;Burhinidae;10
12;Charadriidae;10
13;Haematopodidae;10
14;Jacanidae;10
15;Laridae;10
16;Recurvirostridae;10
17;Rynchopidae;10
18;Scolopacidae;10
19;Thinocoridae;10
20;Ciconiidae;3
21;Columbidae;11
22;Alcedinidae;17
23;Momotidae;17
24;Cuculidae;12
25;Eurypygidae;9
26;Falconidae;20
27;Bucconidae;18
28;Galbulidae;18
29;Cracidae;2
30;Odontophoridae;2
31;Aramidae;8
32;Rallidae;8
33;Cardinalidae;22
34;Cinclidae;22
35;Conopophagidae;22
36;Corvidae;22
37;Cotingidae;22
38;Emberizidae;22
39;Formicariidae;22
40;Fringillidae;22
41;Furnariidae;22
42;Grallariidae;22
43;Hirundinidae;22
44;Icteridae;22
45;Incertae Sedis;22
46;Melanopareiidae;22
47;Mimidae;22
48;Motacillidae;22
49;Parulidae;22
50;Passeridae;22
51;Pipridae;22
52;Polioptilidae;22
53;Rhinocryptidae;22
54;Thamnophilidae;22
55;Thraupidae;22
56;Tityridae;22
57;Troglodytidae;22
58;Turdidae;22
59;Tyrannidae;22
60;Vireonidae;22
61;Ardeidae;5
62;Pelecanidae;5
63;Threskiornithidae;5
64;Phaethontidae;27
65;Phoenicopteridae;25
66;Capitonidae;19
67;Picidae;19
68;Ramphastidae;19
69;Semnornithidae;19
70;Podicipedidae;24
71;Diomedeidae;26
72;Hydrobatidae;26
73;Pelecanoididae;26
74;Procellariidae;26
75;Psittacidae;21
76;Strigidae;13
77;Tytonidae;13
78;Anhingidae;4
79;Fregatidae;4
80;Phalacrocoracidae;4
81;Sulidae;4
82;Tinamidae;1
83;Trogonidae;16
